destination,itinerary,places_covered,hotel_details,cost_per_person,places_to_visit,weather,destination_type
Srinagar,2 Nights Srinagar,Srinagar,"Royal Group Of Deluxe Houseboats,3.7",13581.5," Dal Lake ,  Gondola Point ",moderate,Mountains
Jaipur,3 Nights Jaipur,Jaipur,"Milestone 251,4.3",8076.0," Dinner At Narain Niwas Palace - Mmt ,  City Palace ,  Jantar Mantar ,  Hawa Mahal ,  Morning Cycling Tour Of Jaipur - Mmt ,  Amer Fort ",hot,City
Jaipur,3 Nights Jaipur,Jaipur,"Le Amour Inn,4.3",7984.5," Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ",hot,City
Goa,5 Nights Goa,Goa,"The Leela Goa,4.6",28242.0, South Goa Sightseeing By An Muv - For South Goa Hotels - Mmt ,hot,Beach
Goa,4 Nights Goa,Goa,"Amara Vacanza Grand Inn,3.6",14108.5," Goa - Convenience Value Pack - Mmt ,  Romantic Experiences For Couples From North Goa Hotels (With Transfers) ,  Mmt - Candid Photographer In Goa ",hot,Beach
Dharamshala,2 Nights  Daysharamshala,Dharamshala,"Hotel The Vaikunth,3.9",16866.0," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Norbulingka Institute ,  Mall Road ",cool,Mountains
Jaipur,3 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",11849.0," City Palace ,  Jantar Mantar ,  Hawa Mahal ,  Cycle Safari With A Tractor Ride In A Village In Jaipur, Rajasthan - Mmt ,  Amer Fort ,  Dinner At 1135Ad Restaurant In Amer Fort - Mmt ,  Ticket To Light And Sound Show At Amer Fort - Mmt ",hot,City
"Jaipur, Jodhpur, Udaipur","2 Nights Jaipur , 1 Nights Jodhpur , 2 Nights Udaipur","Jaipur, Jodhpur, Udaipur","Ramada Jaipur,4.1,Indana Palace Jodhpur,4.3,The Ananta,4.4",19333.5," City Palace ,  Hawa Mahal ,  Jantar Mantar ,  Amer Fort ,  Mehrangarh Fort ,  Jaswant Thada ,  Ranakpur Jain Temples ",hot,City
"Jaipur, Jodhpur, Udaipur","2 Nights Jaipur , 1 Nights Jodhpur , 2 Nights Udaipur","Jaipur, Jodhpur, Udaipur","Leisure Inn Grand Chanakya,4,Shree Ram International,3.8,Hotel Horizon,3.7",12735.0," City Palace ,  Hawa Mahal ,  Jantar Mantar ,  Amer Fort ,  Mehrangarh Fort ,  Jaswant Thada ,  Ranakpur Jain Temples ",hot,City
Goa,3 Nights Goa,Goa,"Doubletree By Hilton Hotel Goa,Arpora, Baga,3.9",15379.5," Crab Catching In Goa (With Refreshments) - Mmt ,  Romantic Experiences For Couples From North Goa Hotels (With Transfers) ",hot,Beach
Nainital,4 Nights Nainital,Nainital,"Hotel Maya Regency Bhimtal,3.8",10770.0," Nainital Zoo ,  Naina Devi Temple ,  Lands End ,  Mall Road ,  Tiffin Top ,  Naini Lake ,  Sattal ,  Bhimtal ,  Mukhteshwar Dham ,  Chauli Ki Jaali ",cool,Mountains
Goa,4 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",18350.5," South Goa Sightseeing By An Muv - For South Goa Hotels - Mmt ,  North Goa Sightseeing By An Muv - For South Goa Hotels - Mmt ",hot,Beach
Goa,3 Nights Goa,Goa,"Taj Exotica Resort & Spa,Salcete,Goa,4.8",24609.5," Mmt - Candle Light Dinner And Visit To Miramar Beach In Goa ,  Bondla Wildlife Sanctuary Visit For North Goa Hotels (With Transfers) - Mmt ",hot,Beach
Jaipur,3 Nights Jaipur,Jaipur,"Leisure Inn Grand Chanakya,4",10681.5," City Palace ,  Jantar Mantar ,  Hawa Mahal ,  Morning Yoga Session In A Nature Park - Mmt ,  Amer Fort ,  Ticket To Light And Sound Show At Amer Fort - Mmt ,  Dinner At 1135Ad Restaurant In Amer Fort - Mmt ",hot,City
Goa,3 Nights Goa,Goa,"The Ocean Park Resort,3.7",37489.0, Romantic Experiences For Couples From North Goa Hotels (With Transfers) ,hot,Beach
Jaipur,3 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",19019.5," Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ,  Motorcycle Tour To Sambhar Lake With Lunch At Fort Sawarda ,  Ticket To Light And Sound Show At Amer Fort - Mmt ,  Guided Jeep Safari To Kanota Lake With Lunch - Mmt ",hot,City
Goa,2 Nights Goa,Goa,"Sinq , The Party Hotel (No Stags Allowed),4.1",16621.0, Crab Catching In Goa (With Refreshments) - Mmt ,hot,Beach
Manali,3 Nights Manali,Manali,"Snow Valley Resorts,4.4",11322.0," Vashishth Kund ,  Hadimba Temple ,  Tibetan Monastery ,  Personal Photoshoot In Manali ,  Solang Valley ",cool,Mountains
Goa,4 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.2",14954.0, North & South Goa Hop-On Hop-Off (Hoho) Tour (2 Day Pass Without Transfers) - Mmt ,hot,Beach
Udaipur,2 Nights Udaipur,Udaipur,"The Ananta,4.4",6156.0," Lake Pichola ,  Jag Mandir Palace ,  Return Volvo Tickets Ex Indore ,  Sajjangarh Palace ",hot,City
Goa,3 Nights Goa,Goa,"Windsor Bay,4",9407.5, Scuba Diving And Excursion To Tarkarli Beach (With Transfers) For Guests Staying In North Goa Only - Mmt ,hot,Beach
Goa,2 Nights Goa,Goa,"Amara Grand Baga, Goa, Mmt Holidays Special,",3518.0, Mmt - Candid Photographer In Goa ,hot,Beach
Dharamshala,3 Nights  Daysharamshala,Dharamshala,"Little Mastiff Dharamshala , Unit Of Pong View Hotel,3.9",29954.5," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Cricket Stadium ,  Norbulingka Institute ,  Kangra Art Museum ",cool,Mountains
Srinagar,3 Nights Srinagar,Srinagar,"The Pride Inn,4.2",9075.0," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ",moderate,Mountains
Udaipur,3 Nights Udaipur,Udaipur,"The Ananta,4.4",8178.0, Self Drive Suv For 4 Days From Ahmedabad ,hot,City
Jaipur,3 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",9596.5, Self Drive Suv For 4 Days From Delhi ,hot,City
Goa,3 Nights Goa,Goa,"Santana Beach Resort,4.5",7899.0," Ahmedabad To Goa Bus Ticket With Private Transfer To South Goa Hotels - Mmt ,  South Goa Hop-On Hop-Off (Hoho) Tour (1 Day Pass Without Transfers) - Mmt ,  Goa To Ahmedabad Bus Ticket With Private Transfer From South Goa Hotels - Mmt ",hot,Beach
Dharamshala,3 Nights  Daysharamshala,Dharamshala,"Little Mastiff Dharamshala , Unit Of Pong View Hotel,3.9",6178.0," Dalai Lama Temple ,  Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Norbulingka Institute ,  Kangra Art Museum ",cool,Mountains
Goa,3 Nights Goa,Goa,"Windsor Bay,4",6002.0," Hyderabad To Goa Bus Ticket - Mmt ,  Goa Nightlife Tour (With Transfers) - Mmt ,  Goa To Hyderabad By Bus (Departure Between 5 Pm - 9 Pm) ",hot,Beach
Chennai,3 Nights Chennai,Chennai,"Hotel Savera,4.2",10700.5," Marina Beach ,  Fort St. George ,  Kapaleeshwar Temple ",moderate,City
"Jaipur, Jodhpur, Udaipur","2 Nights Jaipur , 1 Nights Jodhpur , 2 Nights Udaipur","Jaipur, Jodhpur, Udaipur","Leisure Inn Grand Chanakya,4,Shree Ram International,3.8,Hotel Horizon,3.7",14847.0," City Palace ,  Hawa Mahal ,  Jantar Mantar ,  Amer Fort ,  Mehrangarh Fort ,  Jaswant Thada ,  Ranakpur Jain Temples ",hot,City
Jaipur,2 Nights Jaipur,Jaipur,"Leisure Inn Grand Chanakya,4",7192.5," Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ",hot,City
Manali,3 Nights Manali,Manali,"Snow Valley Resorts,4.4",6483.0," Vashishth Kund ,  Hadimba Temple ,  Tibetan Monastery ,  Personal Photoshoot In Manali ,  Solang Valley ",cool,Mountains
Goa,2 Nights Goa,Goa,"Holiday Inn Resort,Mmt Holidays Special,",8380.0," Ahmedabad To Goa By Bus (Departure Between 12 Pm - 2 Pm) ,  Jet Ski And Ringo Ride At Calangute Beach - Mmt ,  Goa To Ahmedabad By Bus (Departure Between 7 Am - 9 Am) ",hot,Beach
Manali,3 Nights Manali,Manali,"Snow Valley Resorts,4.4",11137.5," Vashishth Kund ,  Hadimba Temple ,  Tibetan Monastery ,  Personal Photoshoot In Manali ,  Solang Valley ",cool,Mountains
Goa,3 Nights Goa,Goa,"The Park Calangute,4",14042.0, Catamaran Sailing (With Transfers) - For 2 People - Mmt ,hot,Beach
Goa,2 Nights Goa,Goa,"Sinq , The Party Hotel (No Stags Allowed),4.1",7782.5, Crab Catching In Goa (With Refreshments) - Mmt ,hot,Beach
Goa,3 Nights Goa,Goa,"Windsor Bay,4",18032.0, Dudhsagar Trip - For North Goa Hotels - Wagonr/Similar ,hot,Beach
Goa,3 Nights Goa,Goa,"Amara Grand Baga, Goa, Mmt Holidays Special,",10001.0," Goa - Convenience Value Pack - Mmt ,  North Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ",hot,Beach
Manali,4 Nights Manali,Manali,"Larisa Resort,4.5",18527.5," Pandoh Dam ,  Hadimba Temple ,  Tibetan Monastery ,  Vashishth Kund ,  Mall Road ,  Vanvihar ,  Solang Valley ,  Manikaran ",cool,Mountains
Manali,4 Nights Manali,Manali,"Larisa Resort,4.6",16532.5," Pandoh Dam ,  Hadimba Temple ,  Tibetan Monastery ,  Vashishth Kund ,  Solang Valley ",cool,Mountains
Udaipur,3 Nights Udaipur,Udaipur,"Ramada Udaipur Resort & Spa,4.3",16806.0," Boat Ride To Jag Mandir Palace - Mmt ,  Convenience Value Pack For Sedan - Mmt ,  High Tea At The Sunset Terrace Of The Fateh Prakash Palace - Mmt ",hot,City
Srinagar,4 Nights Srinagar,Srinagar,"California Group Of Houseboats,3.6",10433.0," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ,  Avantipur Ruins ",moderate,Mountains
Jaipur,3 Nights Jaipur,Jaipur,"Leisure Inn Grand Chanakya,4",13823.5," Personal Photoshoot At Amer Fort - Mmt ,  Rajasthan - Convenience Value Pack - Suv - Mmt ,  Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ,  Traditional Dinner At Chokhi Dhani (With Transfers) - Mmt ,  Elephant Safari & Interaction With Elephants At Dera Amer - Mmt ,  Half Day Trip To Bisalpur Dam - Mmt ,  Morning Cycling Tour Of Jaipur - Mmt ",hot,City
Goa,2 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",8301.5," Ahmedabad To Goa By Bus (Departure Between 12 Pm - 2 Pm) ,  Jet Ski And Ringo Ride At Calangute Beach - Mmt ,  Goa To Ahmedabad By Bus (Departure Between 7 Am - 9 Am) ",hot,Beach
Srinagar,4 Nights Srinagar,Srinagar,"The Pride Inn,4.2",7779.0," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ,  Avantipur Ruins ",moderate,Mountains
Goa,3 Nights Goa,Goa,"Resort Terra Paraiso , A  Beach Property.,4.2",13054.5, Dolphin Trip ,hot,Beach
Goa,3 Nights Goa,Goa,"Amara Vacanza Grand Inn,3.6",8388.0, Authentic Goan Meal By Home Chef Aditi Malhotra (With Transfers) - Mmt ,hot,Beach
Srinagar,3 Nights Srinagar,Srinagar,"Royal Group Of Deluxe Houseboats,3.7",15410.5," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ",moderate,Mountains
Udaipur,3 Nights Udaipur,Udaipur,"The Ananta,4.4",14559.0," Lake Pichola ,  Jag Mandir Palace ,  Dinner At A Lake View Haveli (With Transfers) - Mmt ,  Saheliyon Ki Bari ,  City Palace ",hot,City
Udaipur,2 Nights Udaipur,Udaipur,"Golden Tulip Hotel Udaipur,3.3",11609.5, Dinner At A Lake View Haveli (With Transfers) - Mmt ,hot,City
Goa,2 Nights Goa,Goa,"Sinq , The Party Hotel (No Stags Allowed),4.1",18292.5, Crab Catching In Goa (With Refreshments) - Mmt ,hot,Beach
Manali,3 Nights Manali,Manali,"Snow Valley Resorts,4.4",10706.0," Vashishth Kund ,  Hadimba Temple ,  Tibetan Monastery ,  Personal Photoshoot In Manali ,  Solang Valley ",cool,Mountains
Goa,3 Nights Goa,Goa,"Radisson Goa Candolim,4.2",10236.5," Candle Light Dinner And Miramar Beach Visit (With Transfers) - Mmt ,  North Goa Hop-On Hop-Off (Hoho) Tour (1 Day Pass Without Transfers) - Mmt ",hot,Beach
Udaipur,2 Nights Udaipur,Udaipur,"Le Roi Udaipur,3.7",16581.5," Lake Pichola ,  Jag Mandir Palace ,  High Tea At The Sunset Terrace Of The Fateh Prakash Palace - Mmt ,  Sajjangarh Palace ",hot,City
Dharamshala,2 Nights  Daysharamshala,Dharamshala,"Little Mastiff Dharamshala , Unit Of Pong View Hotel,3.9",3264.0," Bus Tickets From Delhi To Dharamshala ,  Bus Tickets From Dharamshala To Delhi ",cool,Mountains
Jaipur,3 Nights Jaipur,Jaipur,"Jaipur Marriott Hotel,4.3",13724.5," Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ",hot,City
"Jaipur, Jodhpur, Udaipur","2 Nights Jaipur , 1 Nights Jodhpur , 1 Nights Udaipur","Jaipur, Jodhpur, Udaipur","Jaipur Marriott Hotel,4.3,Indana Palace Jodhpur,4.4,Trident Udaipur,4.8",20120.0," City Palace ,  Hawa Mahal ,  Jantar Mantar ,  Amer Fort ,  Albert Hall Museum ,  Mehrangarh Fort ,  Jaswant Thada ,  City Palace ,  Lake Pichola ",hot,City
Dharamshala,2 Nights  Daysharamshala,Dharamshala,"Hotel The Vaikunth,3.9",3888.0," Bus Tickets From Delhi To Dharamshala ,  Bus Tickets From Dharamshala To Delhi ",cool,Mountains
Nainital,2 Nights Nainital,Nainital,"Hotel Maharaja,3.3",8894.0," Naina Devi Temple ,  Mall Road ,  Naini Lake ,  Nainital Zoo ,  Eco Cave Garden ",cool,Mountains
Manali,4 Nights Manali,Manali,"Larisa Resort,4.6",18305.0," Pandoh Dam ,  Hadimba Temple ,  Tibetan Monastery ,  Vashishth Kund ,  Mall Road ,  Vanvihar ,  Solang Valley ,  Manikaran ",cool,Mountains
Srinagar,2 Nights Srinagar,Srinagar,"The Pride Inn,4.2",9409.0," Dal Lake ,  Gondola Point ",moderate,Mountains
Udaipur,2 Nights Udaipur,Udaipur,"The Ananta,4.4",11442.0," Lake Pichola ,  Jag Mandir Palace ,  Convenience Value Pack For Sedan - Mmt ,  Sajjangarh Palace ",hot,City
"Jaipur, Jodhpur, Udaipur","2 Nights Jaipur , 1 Nights Jodhpur , 2 Nights Udaipur","Jaipur, Jodhpur, Udaipur","Ramada Jaipur,4.1,Indana Palace Jodhpur,4.3,The Ananta,4.4",10931.0," City Palace ,  Hawa Mahal ,  Jantar Mantar ,  Amer Fort ,  Mehrangarh Fort ,  Jaswant Thada ,  Ranakpur Jain Temples ",hot,City
Srinagar,4 Nights Srinagar,Srinagar,"California Group Of Houseboats,3.6",8583.0," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ,  Avantipur Ruins ",moderate,Mountains
Jaipur,3 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",16027.0," Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ,  Motorcycle Tour To Sambhar Lake With Lunch At Fort Sawarda ",hot,City
Jaipur,3 Nights Jaipur,Jaipur,"Leisure Inn Grand Chanakya,4",16255.0," Rajasthan - Convenience Value Pack - Suv - Mmt ,  Dinner At Padao In Nahargarh Fort (With Transfers) - Mmt ,  Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ,  Personal Photoshoot At Amer Fort - Mmt ,  Ticket To Light And Sound Show At Amer Fort - Mmt ,  Night City Tour Of Jaipur (With Transfers) - Mmt ,  Hot Air Balloon Ride (With Transfers) - Mmt ",hot,City
Nainital,2 Nights Nainital,Nainital,"Vikram Vintage Inn,4.1",11909.5," Naina Devi Temple ,  Mall Road ,  Naini Lake ,  Nainital Zoo ,  Eco Cave Garden ",cool,Mountains
Manali,3 Nights Manali,Manali,"Snow Valley Resorts,4.4",6471.0," Vashishth Kund ,  Hadimba Temple ,  Tibetan Monastery ,  Romantic Open Air Lunch By River Beas ,  Solang Valley ",cool,Mountains
Goa,3 Nights Goa,Goa,"Palmarinha Resort And Suites,3.8",8880.5," Goa - Convenience Value Pack - Mmt ,  Visit To Elephant Village (With Transfers And Lunch) For Guests Staying In North Goa Only - Mmt ",hot,Beach
Goa,4 Nights Goa,Goa,"Resort Rio,3.9",15642.5," Goa - Convenience Value Pack - Mmt ,  Romantic Experiences For Couples From North Goa Hotels (With Transfers) ,  Mmt - Candid Photographer In Goa ",hot,Beach
Goa,3 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.2",16184.0, Cooking Lessons By Home Chef Aditi Malhotra (With Transfers) - Mmt ,hot,Beach
Udaipur,2 Nights Udaipur,Udaipur,"Ramada Udaipur Resort & Spa,4.3",10869.0," Lake Pichola ,  Jag Mandir Palace ,  Convenience Value Pack For Sedan - Mmt ,  Sajjangarh Palace ",hot,City
Jaipur,3 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",21183.0," Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ,  Horseback Riding In The Countryside Of Jaipur - Mmt ,  Ticket To Light And Sound Show At Amer Fort - Mmt ",hot,City
Jaipur,3 Nights Jaipur,Jaipur,"Jai Mahal Palace,4.7",21589.0," Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ",hot,City
Udaipur,2 Nights Udaipur,Udaipur,"Hotel Yois Udaipur , Mmt Holidays Special,",3576.5," Lake Pichola ,  Jag Mandir Palace ,  Sajjangarh Palace ",hot,City
Jaipur,2 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",5737.0, Walking And Food Tasting Tour - Mmt ,hot,City
Srinagar,4 Nights Srinagar,Srinagar,"California Group Of Houseboats,3.6",11891.0," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ,  Avantipur Ruins ,  Full Day Excursion From Srinagar To Doodhpatri - Mmt ",moderate,Mountains
Srinagar,3 Nights Srinagar,Srinagar,"California Group Of Houseboats,3.6",12857.5," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ",moderate,Mountains
Goa,3 Nights Goa,Goa,"Santana Beach Resort,4.5",9172.5," Ahmedabad To Goa Bus Ticket With Private Transfer To North Goa Hotels - Mmt ,  Night-Out In Goa - For North Goa Clients ,  Goa To Ahmedabad Bus Ticket With Private Transfer From North Goa Hotels - Mmt ",hot,Beach
Srinagar,2 Nights Srinagar,Srinagar,"The Pride Inn,4.2",8740.0," Dal Lake ,  Gondola Point ",moderate,Mountains
Goa,3 Nights Goa,Goa,"Amara Grand Baga, Goa, Mmt Holidays Special,",8550.5," Mumbai To Goa Bus Ticket With Private Transfer To South Goa Hotels - Mmt ,  South Goa Hop-On Hop-Off (Hoho) Tour (1 Day Pass Without Transfers) - Mmt ,  Goa To Mumbai Bus Ticket With Private Transfer From South Goa Hotels - Mmt ",hot,Beach
Jaipur,3 Nights Jaipur,Jaipur,"Leisure Inn Grand Chanakya,4",15474.5," Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ,  Motorcycle Tour To Sambhar Lake With Lunch At Fort Sawarda ,  Ticket To Light And Sound Show At Amer Fort - Mmt ,  Guided Jeep Safari To Kanota Lake With Lunch - Mmt ",hot,City
Udaipur,3 Nights Udaipur,Udaipur,"Hotel Horizon,3.7",10877.5," Lake Pichola ,  Jag Mandir Palace ,  Saheliyon Ki Bari ,  City Palace ,  Heritage Walk ",hot,City
Dharamshala,3 Nights  Daysharamshala,Dharamshala,"Little Mastiff Dharamshala , Unit Of Pong View Hotel,3.9",19937.5," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Cricket Stadium ,  Norbulingka Institute ,  Kangra Art Museum ",cool,Mountains
Shimla,2 Nights Shimla,Shimla,"The Oberoi Cecil,4.7",15452.5," Viceregal Lodge ,  Mall Road ,  Kufri ",cool,Mountains
Udaipur,2 Nights Udaipur,Udaipur,"Hotel Yois Udaipur , Mmt Holidays Special,",7881.5," Lake Pichola ,  Jag Mandir Palace ,  Convenience Value Pack For Sedan - Mmt ,  Sajjangarh Palace ",hot,City
Jaipur,3 Nights Jaipur,Jaipur,"Ramada Jaipur,4.1",7756.0, Self Drive Suv For 4 Days From Delhi ,hot,City
Udaipur,4 Nights Udaipur,Udaipur,"Hotel Yois Udaipur , Mmt Holidays Special,",12774.5," Kumbhalgarh ,  Haldighati ,  Saheliyon Ki Bari ,  City Palace ,  Sajjangarh Palace ",hot,City
Srinagar,4 Nights Srinagar,Srinagar,"The Pride Inn,4.0",10515.0," Dal Lake ,  Mughal Gardens ,  Cheshma Shahi ,  Nishat Bagh ,  Shalimar Garden ,  Shankaracharya Temple ,  Dal Lake ,  Gondola Point ,  Avantipur Ruins ",moderate,Mountains
Goa,3 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.2",19511.0, Dolphin Trip ,hot,Beach
Manali,3 Nights Manali,Manali,"Solang Valley Resort,3.8",13067.0," Fishing In River Beas (With Transfers) ,  Bus Tickets From Delhi To Manali ,  Half Day Local Sight Seeing Of Manali In Alto ,  Half Day Solang Valley Tour In Alto ,  Bus From Manali To Delhi ",cool,Mountains
Manali,3 Nights Manali,Manali,"Manuallaya The Resort Spa In The Himalayas,4.5",11004.5," Vashishth Kund ,  Hadimba Temple ,  Tibetan Monastery ,  Picnic With A View In Manali - Mmt ,  Solang Valley ",cool,Mountains
Goa,3 Nights Goa,Goa,"Amara Grand Baga, Goa, Mmt Holidays Special,",10985.5, South Goa Sightseeing By An Muv - For South Goa Hotels - Mmt ,hot,Beach
Srinagar,2 Nights Srinagar,Srinagar,"California Group Of Houseboats,3.6",9584.0," Dal Lake ,  Gondola Point ",moderate,Mountains
Udaipur,2 Nights Udaipur,Udaipur,"Swaroop Vilas,3.8",10895.0," Lake Pichola ,  Jag Mandir Palace ,  High Tea At The Sunset Terrace Of The Fateh Prakash Palace - Mmt ,  Sajjangarh Palace ",hot,City
Dharamshala,3 Nights  Daysharamshala,Dharamshala,"Little Mastiff Dharamshala , Unit Of Pong View Hotel,3.9",15460.0," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Cricket Stadium ,  Norbulingka Institute ,  Kangra Art Museum ",cool,Mountains
Goa,3 Nights Goa,Goa,"La Vie Woods (No Stags Allowed),4",7752.0, Visit To Elephant Village (With Transfers And Lunch) For Guests Staying In North Goa Only - Mmt ,hot,Beach
Manali,3 Nights Manali,Manali,"Larisa Resort,4.6",16336.5," Vashishth Kund ,  Hadimba Temple ,  Tibetan Monastery ,  Personal Photoshoot In Manali ,  Solang Valley ",cool,Mountains
Goa,3 Nights Goa,Goa,"Doubletree By Hilton Hotel Goa,Arpora, Baga,3.9",14651.0, Dudhsagar Trip - For North Goa Hotels - Wagonr/Similar ,hot,Beach
Jaipur,2 Nights Jaipur,Jaipur,"Lemon Tree Premier Jaipur,4.4",8749.0," Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ",hot,City
Udaipur,2 Nights Udaipur,Udaipur,"Swaroop Vilas,3.8",12350.5," Lake Pichola ,  Jag Mandir Palace ,  Private Sunset Boat Ride At Lake Pichola - Mmt ,  Sajjangarh Palace ",hot,City
Nainital,2 Nights Nainital,Nainital,"Vikram Vintage Inn,4.1",10913.0," Naina Devi Temple ,  Mall Road ,  Naini Lake ,  Nainital Zoo ,  Eco Cave Garden ",cool,Mountains
Goa,4 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",13327.0," North Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ,  South Goa Sightseeing By An Muv - For North Goa Hotels - Mmt ",hot,Beach
Goa,3 Nights Goa,Goa,"Amara Grand Baga, Goa, Mmt Holidays Special,",11285.0, Cooking Lessons By Home Chef Aditi Malhotra (With Transfers) - Mmt ,hot,Beach
Udaipur,3 Nights Udaipur,Udaipur,"The Ananta,4.4",8881.5, Self Drive Suv For 4 Days From Ahmedabad ,hot,City
Goa,2 Nights Goa,Goa,"Sinq , The Party Hotel (No Stags Allowed),4.1",15516.0, One Hour Luxury Yacht Ride (With Transfers And Refreshments) ,hot,Beach
Jaipur,2 Nights Jaipur,Jaipur,"The Oberoi Rajvilas,4.6",43799.5," Hawa Mahal ,  City Palace ,  Jantar Mantar ,  Amer Fort ",hot,City
Srinagar,2 Nights Srinagar,Srinagar,"The Pride Inn,4.2",8467.0," Dal Lake ,  Gondola Point ",moderate,Mountains
Shimla,4 Nights Shimla,Shimla,"Summit Thistle Villa Resort & Spa,4.3",13817.5," Kufri ,  Mall Road ,  Shimla Church ,  Scandal Point ,  Gaeity Theatre ,  Townhall ,  Naldhera ,  Mashobra ,  India Gate ,  Lotus Temple ,  Iskcon Temple ",cool,Mountains
Goa,3 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.2",13710.5, Romantic Experiences For Couples From North Goa Hotels (With Transfers) ,hot,Beach
Dharamshala,3 Nights  Daysharamshala,Dharamshala,"Little Mastiff Dharamshala , Unit Of Pong View Hotel,3.9",24176.5," Dalai Lama Temple ,  Bhagsu Falls ,  Church Of St. John ,  War Memorial ,  Kangra Art Museum ,  Cricket Stadium ,  Norbulingka Institute ,  Kangra Art Museum ",cool,Mountains
Udaipur,4 Nights Udaipur,Udaipur,"Hotel Yois Udaipur , Mmt Holidays Special,",13550.5," Kumbhalgarh ,  Haldighati ,  Saheliyon Ki Bari ,  City Palace ,  Sajjangarh Palace ",hot,City
Udaipur,3 Nights Udaipur,Udaipur,"The Ananta,4.4",16292.0," Convenience Value Pack For Sedan - Mmt ,  Boat Ride To Jag Mandir Palace - Mmt ,  High Tea At The Sunset Terrace Of The Fateh Prakash Palace - Mmt ",hot,City
Goa,2 Nights Goa,Goa,"Hard Rock Hotel Goa,4.2",10070.0, One Hour Luxury Yacht Ride (With Transfers And Refreshments) ,hot,Beach
Goa,4 Nights Goa,Goa,"Novotel Goa Resort & Spa,4.1",19617.0," Goa - Convenience Value Pack - Mmt ,  Romantic Experiences For Couples From South Goa Hotels (With Transfers) ,  Mmt - Candid Photographer In Goa ",hot,Beach
Shimla,3 Nights Shimla,Shimla,"Kyriad Hotel Shimla (A Unit Of Hotel C K Int.),",8629.0," Personal Photoshoot In Shimla ,  Shimla Church ,  Scandal Point ,  Gaeity Theatre ,  Townhall ,  Kufri ,  Indira Bunglow ,  Himalayan Zoo ,  Naldhera ,  Mall Road ,  Scandal Point ,  Shimla Church ,  Gaeity Theatre ,  Townhall ",cool,Mountains
